Name,Salary1718,N1718,Salary1819,N1819,Salary1920,N1920,Salary2021,N2021
VERTICAL.FOX,-1,-1,-1,-1,-1,-1,6,2
VALUEFY,-1,-1,-1,-1,6,0,-1,-1
K12.TECHNO.SERVICES,-1,-1,-1,-1,-1,-1,6,7
LIVEHEALTH,-1,-1,5.1,1,5.83,2,-1,-1
TECH.MAHINDRA,-1,-1,5.5,3,-1,-1,-1,-1
HONEYWELL,-1,-1,5.5,7,5.5,6,-1,-1
HITACHI.CONSULTING,-1,-1,5.5,1,-1,-1,-1,-1
EVOSYS,-1,-1,5.5,0,5.5,2,-1,-1
ONEXTEL,-1,-1,-1,-1,-1,-1,5.5,2
ABS,-1,-1,-1,-1,-1,-1,5.37,0
PARAGYTE,5.25,1,5.25,0,4,0,-1,-1
FISERV,-1,-1,-1,-1,5.2,22,-1,-1
APISERO,-1,-1,5,0,-1,-1,5.1,12
TRIPSTACK,4,10,4.25,4,-1,-1,5,0
REDPANDA,4.5,4,5,3,5,2,5,3
RELFOR.LAB,-1,-1,-1,-1,5,0,-1,-1
YARDI,5,14,5,16,5,10,4.5,25
CUTSHORT,5,1,-1,-1,-1,-1,-1,-1
TIMES.INTERNET,-1,-1,5,2,-1,-1,-1,-1
CLOUDWERX,-1,-1,-1,-1,5,0,5,2
BRIGHTCHAMPS,-1,-1,-1,-1,-1,-1,5,0
ADP,-1,-1,-1,-1,-1,-1,5,1
AMDOCS,-1,-1,5,9,5,13,5,30
UNSCHOOL,-1,-1,-1,-1,-1,-1,5,0
ALTIMETRIK,-1,-1,5,1,5,6,-1,-1
SHOPTIMIZE,-1,-1,5,1,-1,-1,-1,-1
HEXAWARE.TECHNOLOGIES,-1,-1,-1,-1,-1,-1,5,3
MCKINLEY.&.RICE,-1,-1,-1,-1,-1,-1,5,0
RAJA.SOFTWARE,5,3,5,3,5,3,-1,-1
QTC.DIGITAL,5,5,-1,-1,-1,-1,-1,-1
INFOGEN.LAB,-1,-1,-1,-1,5,2,5,5
LENTRA.AI,-1,-1,-1,-1,4.8,4,-1,-1
SCALEX.TECHNOLOGY,-1,-1,-1,-1,-1,-1,4.8,0
ZOCDOC,-1,-1,-1,-1,-1,-1,4.8,1
CRANE.PROCESS.FLOW,-1,-1,-1,-1,4.6,2,-1,-1
XPANXION,-1,-1,-1,-1,4.5,2,-1,-1
OPUS.CONSULTING,4.5,9,-1,-1,-1,-1,-1,-1
ENDURANCE.INTERNATIONAL,-1,-1,-1,-1,4.5,2,3.72,1
ELASTIC.RUN,4.5,1,-1,-1,-1,-1,-1,-1
XORIENT,-1,-1,-1,-1,4.5,0,-1,-1
GLOBANT,-1,-1,4.5,3,-1,-1,-1,-1
LIFELINE.SYSTECH,-1,-1,-1,-1,4.5,3,-1,-1
DEMANDMATRIX,-1,-1,-1,-1,4.5,0,-1,-1
BITWISE,-1,-1,4.4,1,-1,-1,3.84,0
ERNST.&.YOUNG,-1,-1,-1,-1,-1,-1,4.37,0
CONTINENTAL,4.25,1,-1,-1,-1,-1,-1,-1
VODAFONE,-1,-1,4.25,3,4.25,12,4.25,10
E.ZEST,4.25,3,3.25,2,4,2,3.2,1
ETERNUS.SOLUTIONS,-1,-1,-1,-1,4.25,2,-1,-1
LTI,-1,-1,4.18,17,-1,-1,-1,-1
IBM,-1,-1,4.1,3,4.1,3,-1,-1
EUMENTIS.CLOUD,-1,-1,-1,-1,-1,-1,4.07,2
JISA.SOFTECH,-1,-1,-1,-1,-1,-1,4,1
MEDIA4U,4,1,-1,-1,-1,-1,-1,-1
GNS.ENGINEERING.INDIA,-1,-1,-1,-1,-1,-1,4,0
VADINI.INFOCENTER,-1,-1,-1,-1,-1,-1,4,0
AGILIAD,-1,-1,3.5,2,-1,-1,4,12
KANTAR.IMRB,-1,-1,4,0,-1,-1,-1,-1
HINDUSTAN.TIMES,-1,-1,4,0,-1,-1,-1,-1
VIGOURSOFT,-1,-1,4,5,-1,-1,-1,-1
IQ.DIGITAL,-1,-1,-1,-1,-1,-1,4,1
IGT.SOLUTIONS,-1,-1,-1,-1,-1,-1,4,0
COREFLEX.XANADUTEC,-1,-1,4,3,-1,-1,-1,-1
RUDDER.ANALYTICS,-1,-1,-1,-1,-1,-1,4,0
RAYDEN.DESIGN,-1,-1,-1,-1,-1,-1,4,0
TATA.COMMUNICATIONS,-1,-1,3.8,3,-1,-1,-1,-1
AXIS.BANK,-1,-1,3.8,3,-1,-1,-1,-1
CENTIRO,-1,-1,-1,-1,-1,-1,3.8,0
ALIGNED.AUTOMATION,-1,-1,-1,-1,-1,-1,3.75,2
WISDMLABS,3.5,3,3.6,1,-1,-1,-1,-1
INFOSYS,-1,-1,3.6,13,-1,-1,3.5,3
CYBAGE,3.6,2,3.6,1,-1,-1,-1,-1
IDMISSION,3.6,4,-1,-1,-1,-1,-1,-1
EINFOCHIP,-1,-1,3,7,3.6,3,-1,-1
ATOS,3.5,22,3.1,17,-1,-1,3.1,6
REPOSENERGY,-1,-1,-1,-1,3.5,0,-1,-1
ZLEN,-1,-1,-1,-1,-1,-1,3.5,0
COFFEE.DAY,-1,-1,3.5,0,-1,-1,-1,-1
PRODUCT.DOSSIER,-1,-1,-1,-1,-1,-1,3.5,6
NTT.DATA,-1,-1,-1,-1,-1,-1,3.5,2
MITHI.SOFTWARE,-1,-1,3.5,0,-1,-1,-1,-1
TCS.NINJA,-1,-1,3.36,13,3.5,2,3.36,7
FLO.GROUP,-1,-1,-1,-1,3.5,1,3.5,4
HCL.TECHNOLOGIES,-1,-1,-1,-1,-1,-1,3.5,0
NETWORK18,3.4,1,-1,-1,-1,-1,-1,-1
TCS,3.36,29,-1,-1,-1,-1,-1,-1
BIRLASOFT,-1,-1,-1,-1,3.25,2,-1,-1
TALENTIO,-1,-1,-1,-1,-1,-1,3,0
INTELIMENT,-1,-1,-1,-1,-1,-1,3,0
INTEGRICHAIN.INC.,-1,-1,-1,-1,-1,-1,3,0
BLUE.FLAME.LABS,-1,-1,-1,-1,3,3,-1,-1
JOHNSON.CONTROLS,3,3,-1,-1,-1,-1,-1,-1
SANKEY.SOLUTION,3,1,-1,-1,-1,-1,-1,-1
PROLIFICS,-1,-1,3,0,-1,-1,-1,-1
MINDSTIX.SOFTWARE.LABS,-1,-1,-1,-1,-1,-1,-1,-1
